id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10091,BitMarket.pl,01/03/2014,Private,,https://bitmarket.pl/,01/01/2014,,08/07/2019,"ceased operations due to ""loss of liquidity""",R,Unidentified,Poland,Unidentified,Poland,Poland,Native,101011100,Bitcoin & Litecoin Exchange; Trading Platform,,TRUE,"Dear Users, We regret to inform you that due to the loss of liquidity, since 08/07/2019, Bitmarket.pl/net was forced to cease its operations. We will inform you about further steps."
10092,Bitmarkets,01/11/2014,Private,,https://voluntarylabs.org/bitmarkets/,01/01/2014,,,,,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,101021201,Free Open-Source Decentralized P2P Marketplace with 2-party-escrow (instead of 3),2014-11-01:4,TRUE,Officially Voluntary Labs
10093,BitMEX,01/11/2014,Private,@bitmexdotcom,bitmex.com,01/01/2014,148707,,,,Hong Kong,Hong Kong,"Mahe, Beau Vallon",Seychelles,Seychelles,Native,"2014-11-01:101001000;
201-01-01:101001000,152532500","Derivatives Trading Platform, famous in the crypto community,offering the highest leverage (up to 100x) on trades on a liquid exchange, Research Arm (""BitMEX Research"", 2017)",,TRUE,Legal Name: HDR Global Trading Limited
10094,BitMinter,01/06/2011,Private,@bitminter,https://bitminter.com/,01/01/2011,914390729,,,,Olso,Norway,Oslo,Norway,Norway,Native,131901705,Mining Pool,,TRUE,operated by the Norwegian company Aesir Financial AS (914390729)
10095,Bitmixer.io,01/01/2014,Private,,http://web.archive.org/web/20160124224144/https://bitmixer.io/index.html,01/01/2014,,24/07/2017,Ceased operations due to realising that Bitcoin is not anonymous,R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,204024100,Bitcoin Tumbler/Mixing Service,,,"""Hi all! You may use Dash or Zerocoin if you want to buy some weed. Not Bitcoin."""
10096,BitNational,01/02/2014,Private,@bitnational,https://bitnational.com/,01/01/2013,2017875408,,,,"Calgary, Alberta",Canada,"Calgary, Alberta",Canada,Canada,Native,"2014-02-01:101021200;
2015-01-01:101021200,101011100;
2016-01-01:101021200,101011100,101011101;
2019-03-01:101021200,101011100,101011101,101001000;","Bitcoin ATM Operator; Brokerage Services (2015), OTC (2016), Exchange (2019-03-01)",,TRUE,
10097,Bitnet,01/05/2014,Private,@BitnetTech,http://web.archive.org/web/20150510195713/http://bitnet.io/,16/01/2014,537994,20/10/2016,Aqcuired by uphold,A,Belfast,Ireland,Dublin,Ireland,Unidentified,Native,"2014-01-01:111301200;
2016-01-01:111301200,111311302,193713700,214604200","Payment Processor (2014), Blockchain Consulting (2016), Digital Asset Management [Issuance] (2016), Remittance (2016)",,TRUE,https://uphold.com/en/press-media/posts/press-releases/uphold-acquires-bitnet-announces-uphold-merchant-services-ums
10098,BitNexo,01/08/2015,Private,@bitnexo,http://web.archive.org/web/20161129023639/https://www.bitnexo.com/,10/03/2015,76417172-1,01/07/2017,Defunct,R,Santiago,Chile,Santiago,Chile,Chile,Native,"111311301,111311302",Remittances and B2B Cross-border Payments,,,Legal Entity: Bitnex SPA
10099,Bitnik,01/01/2014,Private,@Bitnik_eu,https://bitnik.eu/en/,16/04/2014,6595162000,,,,Ljubljana,Slovenia,Ljubljana,Slovenia,Slovenia,Native,101021200,"Bitcoin ATM Operator; ""Reload"": Rebuy bitcoins automatically once spent (2015)",4,TRUE,"""Reload"": works by linking your wallet(s) and your exchange account(s) together"
10100,BitOasis,01/01/2015,Private,@bitoasis,https://bitoasis.net/en/,01/02/2014,"1897731
",,,,Dubai,United Arab Emirates,Tortola,British Virgin Islands,British Virgin Islands,Native,"2015-01-01:101011100,121601500;
2019-07-01:101011100,121601500,101001000","Brokerage Services (""BitOasis Core""); Order-book (""BitOasis Pro"",2019-07-01); Multi-Sig Wallet",,TRUE,"Legal Name: BO Technologies Limited a limited liability company incorporated in Malta with company number C 89099
Offer different services through different legal entities, including one in Malta"
10101,BitOcean,01/09/2014,Private,@BitOcean_JP,http://www.bitocean.co/,01/01/2013,,,,,Tokyo,Japan,Tokyo,Japan,Japan,Native,101021200,Bitcoin ATM Manufacturer,,TRUE,
10102,BitoEX,01/10/2014,Private,@BitoEX,https://www.bitoex.com/,07/03/2017,56346103,,,,Taipei,Taiwan,British Virgin Islands,British Virgin Islands,China,Native,"2014-10-01:101011100,121601500;
2015-01-01:101011100,121601500,111311302,111301200;
2019-03-01:101011100,121601500,111311302,111301200,101001000","Brokerage Services; Wallet/Money Transfer Platform; Payment Processor (2015), Order-book (""BitoPro"", 2019-03-01)",,TRUE,Legal Name: BitoEX Technology LIMITED
10103,Bitok,01/09/2014,Private,@Bitok_com,http://web.archive.org/web/20150315011831/https://bitok.com/,26/11/2013,8790157,01/05/2016,Not met projected goals,R,London,United Kingdom,London,United Kingdom,United Kingdom,Native,101011100,Brokerage Services; Multi-Coin Exchange,,TRUE,"Legal Name: Bitok LTD
Previously known as BITCOIN INNOVATIONS LTD."
10104,Bitomat,01/04/2011,Private,,http://web.archive.org/web/20110406180353/http://bitomat.pl/,01/01/2011,,01/08/2011,"Acquired by Mt. Gox, after losing 17'000 BTC",R,Unidentified,Poland,Unidentified,Poland,Poland,Native,101011100,Brokerage Services,,TRUE,
10105,"2012-03-12:""iDealCoin"";
2012-04-12:""Bitonic""",12/03/2012,Private,@bitonic,https://bitonic.nl/en/,01/05/2012,58276149,,,,Amsterdam,Netherlands,Amsterdam,Netherlands,Netherlands,Native,"2012-03-12:101011100;
2013-01-01:101011100,111301200;
2016-01-01:101011100,111301200,193713702;
2016-04-01:101011100,111301200,193713702,101001000","Brokerage Services; Merchant Sevrices (""BitMerchant"",2013); Order-book (""BL3P"",2016-04-01), Education (""Bitonic Academy"",2016), News (""bitcoin.nl"",),C",,TRUE,
10106,"2013-09-01:""BitPagos"";
2017-04-01:""Ripio""",01/09/2013,Private,@ripioapp,https://ripio.com/en/,29/04/2013,5326206,,,,"San Francisco, California",United States,"Wimington, Delaware",United States,Unidentified,Native,"2013-09-01:111301200;
2014-01-01:111301200,101011100;
2015-01-01:111301200,101011100,101001000;
2016-01-01:111301200,101011100,101001000,173103000;
2019-05-01:111301200,101011100,101001000,173103000,101011101","Payment Processor; Brokerage Services (""Ripio"", 2014); Exchange (acquisition of 2015, then launch of another order-book in ay 2019); Lending (""Ripio Credit Network"", 2016); OTC (""RipioOTC"", 2019-05-01)",,TRUE,"I am unsure of the following info:
--> Parent: Ripio Holding Ltd.
-->Legal Name Subsidaries: 
Moonbird SRL(30-71453554-0), Buenos Aires, Argentina
CuentaDigital SRL (Not 100% sure?)"
10107,BitPay,01/05/2011,Private,@bitpay,https://bitpay.com/,01/01/2011,5163966,,,,"2011-05-01:""Orlando, Florida"";
2013-01-01:""Atlanta, Georgia""",United States,"Wimington, Delaware",United States,United States,Native,"2011-05-01:111301200;
2014-01-01:111301200,111311300,183403301;
2015-06-01:111301200,111311300,183403301,121611601;
2015-06-01:111301200,111311300,183403301,121611601,111301204","Payment Processor; General API and OSS Provider (2013?); Free and Open-Source Wallet (""Copay"", 2015-06); Free and Open-Source Bitcoin Development Platform (""Bitcore"", 2014); Payroll Services (2014-01), Debit Card (""BItPay Visa"", 2016-05)",,TRUE,
10108,BitPesa,01/10/2013,Private,@BitPesa,https://www.bitpesa.co,20/01/2017,B 211.963,,,,"2013-10-01:""Nairobi"";
2015-05-01:""Tanzania"";
2016-01-01:""Nigeria""
","2013-10-01:""Kenya"";
2015-05-01:""Tanzania"";
2016-01-01:""Nigeria"";
2017-01-20:""Kenya""",Luxembourg,Luxembourg,Luxembourg,Native,"111311302,101011100,101011101,111311301,111311301",Money Transfer Platform/Remittances (personal and B2B); Brokerage Services; OTC Trade; M2M Payments,"2016-01-01:12;
2017-01-01:20;
2018-01-01:60;
2019-08-01:89",TRUE,"In February 2018, BitPesa acquired TransferZero, an online money transfer company in Spain. BitPesa opeartes under BTC Africa S.A. https://opencorporates.com/companies/lu/B211963"
10109,BitPremier,01/05/2013,Private,@BitPremier,http://web.archive.org/web/20130503225408/http://www.bitpremier.com/,26/05/2013,5304419,22/09/2017,"""After four years serving the Bitcoin community, we have made the decision to move on to other ventures""",R,"Gaithersburg, Maryland",United States,Delaware,United States,United States,Native,111301202,Luxury Items for Bitcoin Shop,,TRUE,"BitPremier is now a blog - unrelated

https://www.google.com/url?q=https://www.crunchbase.com/organization/bitpremier%23section-overview&sa=D&ust=1565694267931000&usg=AFQjCNEpSrHETwJAOnCFjy0PdUnjSiJc-Q"
10110,Bitproof,01/01/2015,Private,,https://www.bitproof.net/page,28/01/2015,5682506,,,,"Walut Creek, California",United States,Delaware,United States,United States,Native,204003900,Proof-of-Existence: Notary Services,,TRUE,
10111,"2013-07-01:""BuyBitcoin.US""
2013-10-08:""BitQuick""",01/07/2013,Private,@bitquickco,https://www.bitquick.co/,03/06/2013,5682506,01/06/2016,Aquired by Athena Bitcoin,A,Chicago,United States,Delaware,United States,United States,Native,101021201,P2P Marketplace for Buying And Selling bitcoins,2013-01-01:1,TRUE,"""BitQuick has a flexible platform that has already expanded operations to Europe, Taiwan and India and launched AltQuick, an alternate cryptocurrency exchange."""
10112,Bitrated,01/01/2014,Private,@bitrated,https://www.bitrated.com,01/12/2013,515093250,,,,Tel Aviv,Israel,Tel Aviv,Israel,Israel,Native,"101011100,152522400,193723800","Arbitration Marketplace (Escrow, 2014); Trust Platform (2015)",2019-11-18:3,TRUE,Consumer Protection; Reputation management system; escrow payment system and arbitration marketplace
10113,Bitrefill,01/11/2014,Private,@bitrefill,https://www.bitrefill.com,29/01/2015,559001-6035,,,,Stockholm,Sweden,Stockholm,Sweden,Sweden,Native,111301202,Mobile Credit & other stuff buying with bitcoins,2018-12-01:4,TRUE,
10115,Bits of Gold,01/01/2013,Private,@BitsofGold_LTD,https://www.bitsofgold.co.il,15/01/2013,514866607,,,,Tel Aviv,Israel,Tel Aviv,Israel,Israel,Native,"2013-01-01:101011100;
2014-01-01:101011100,101021200;
2015-01-01:101011100,101021200,111301200;
2018-01-01:101011100,101021200,111301200,101011101","Brokerage Service; BTM Operator (2014); Payment Processor (2015), OTC (2018)","2016-01-01:3;
2017-01-01:6;
2018-01-01:20",TRUE,
10116,Bits of Proof,01/01/2013,Private,,http://web.archive.org/web/20130425173340/https://bitsofproof.com/,25/03/2013,13647614166,25/06/2015,2015-06-25 Acquired by Digital Assets Holdings LLC,A,"2013-03-25:""Budapest"";
2015-06-25:""New York""","2013-01-01:""Hungary"";
2015-06-25:""United States""","2013-03-25:""Budapest"";
2015-06-25:""Delaware""","2013-01-01:""Hungary"";
2015-06-25:""United States""","2013-01-01:""Hungary"";
2015-06-25:""United States""",Native,"183403302,111301200","BOP Bitcoin Enterprise Server (modular implementation of Bitcoin protocol, client library), other software solutions that enable almost trust-less services (BopShop for Merchants)",,TRUE,"Bit of Proof was aquried by CoinTerra in 2014. The legal enitiy did not seem to change as well as the service offering on the webpage.See: http://web.archive.org/web/20140821200504/https://bitsofproof.com/?page_id=56
Later acquired by Digital Asset Holdings: http://web.archive.org/web/20160328085425/http://bitsofproof.com/

Furthermore the CEO of Bits of Proof joined CoinTerra as vice president. See: https://www.prnewswire.com/news-releases/cointerra-acquires-bits-of-proof-and-welcomes-founder-tamas-blummer-as-vice-president-of-enterprise-software-268883901.html

(2015-01-27) CoinTerra files Bankrupcty. See: https://www.coindesk.com/bitcoin-mining-firm-cointerra-files-chapter-7-bankruptcy

(2015-06-25) Interestingly Bits of Proof get acquired by Digital Assets Holdings on. See: 
1) http://web.archive.org/web/20150801050610/http://bitsofproof.com/
2)https://hub.digitalasset.com/press-release/digital-asset-acquires-hyperledger-following-prior-acquisition-of-bits-of-proof"
10117,BitSabio,01/10/2015,Private,@BitSabio,http://web.archive.org/web/20160809062433/http://bitsabio.com/,01/10/2015,,08/11/2017,Defunct,R,,Unidentified,,Unidentified,Unidentified,Native,193713700,Consulting Services; Small Shop for Bitcoin-related security products,,TRUE,
10119,BitSent,01/01/2014,Private,@BitSent,http://web.archive.org/web/20180310121157/http://bitsent.ca/,15/11/2013,830534632,,,,"Waterloo, Ontario",Canada,"Waterloo, Ontario",Canada,Canada,Native,"2014-01-01:101011100,101021200,193713700,193713702,111301200;
2015-01-01:101011100,101021200,193713700,193713702,111301200,131901702,131901705","Brokerage Services; Bitcoin ATM Operator; Consulting; Education and Training; Payment Processor; Mining Pool? (2015?); Hosted Ming Datacenter (2015); ""Bitrated Program"" (2015)",,TRUE,
10123,BitSpend,03/03/2013,Private,@BitspendDotNet,http://web.archive.org/web/20130524021251/https://bitspend.net/,03/06/2013,"
L13000034498",01/08/2013,"Accounts closed by Chase bank, Domain Acquired",R,Florida,United States,Florida,United States,United States,Native,111301202,Proxy-Buyer Service (eCommerce),2013-05-24:4,,Former Legal Name: Bitspend LLC
10124,"2016-04-01:""Bitsquare"";
2017-06-01:""Bisq""",01/04/2016,Private,@bisq_network,https://bisq.network/,,,,,,,DAO,,DAO,,Native,101011103,Open-Source Decentralized Multi-Coin Exchange,Open Source Community,TRUE,"Bisq is not a company or legal entity of any kind—instead, it's organized as a DAO"
10125,Bitstake,01/01/2015,Private,@bitstake,http://web.archive.org/web/20151006152207/https://bitstake.co/,01/12/2014,RC 1271038,30/10/2015,"Shut down, no reasons found",R,Ogun,Nigeria,Ogun,Nigeria,Unidentified,Native,"101011100,111311302,173103000,173113100","Brokerage Services; Money Transfer Platform/Remittances; P2P Lending Platform, Staking platform (Interest bearing account & Staking)",,TRUE,"Legal Name: BITSTAKE GLOBAL LIMITED (according to bitcoin talk thread)
https://bitcointalk.org/index.php?topic=920272.3895;wap
https://ng-check.com/bitstake-global-limited/2809513.html

Bitstake shut down recommended Nariaex (other Nigerian exchange), one article linked linked Bitstake global to it - yet unable to confirm on Nariaex webpage: http://www.itwebafrica.com/e-commerce/694-africa/237034-more-bitcoin-exchange-platforms-now-focus-on-africa"
10126,Bitstamp,01/08/2011,Private,@Bitstamp,https://www.bitstamp.net/,25/07/2012,8157033,,,,London,United Kingdom,London,United Kingdom,United States,Native,101001000,Payment institution; Exchange,"2016-01-01:30;
2017-01-01:180;
2018-01-01:230",TRUE,"Bitstamp Europe S.A., a payment institution authorized and regulated by the Luxembourg financial regulator, the Commission de Surveillance du Secteur Financier (hereafter “CSSF”), registered with the Luxembourg Trade and Companies Register under the number B0196856, VAT number LU 27823117, with its registered address at 21-25, all?e Scheffer, L-2520, Luxembourg.
Office:New York"
10127,Bitstop,01/01/2014,Private,@BitstopTech,https://bitstop.co/,11/06/2013,"
F18000002477",,,,"Miami, FL",United States,"Miami, FL",United States,United States,Native,101011102,Bitcoin ATM Operator,,TRUE,
10129,Bittrex,01/01/2014,Private,@BittrexGlobal,https://international.bittrex.com/,01/01/2014,834977,,,,,United States,,"2014-01-01:""United States"";
2018-11-01:""Malta"";
2019-10-21:""Liechtenstein""","2014-01-01:""United States"";
2018-11-01:""Malta"";
2019-10-21:""Liechtenstein""",Native,"2014-01-01:101001000;
2019-05-01:101001000,214604201","Multi-Coin Order-book, Margin Trading, IEO (May 2019)",2019-01-01:49,TRUE,"Bittrex Inc. + Bittrex Matla Ltd > Bittrex International which became Bittrex Global in 2019
"
10130,Bittylicious,01/06/2013,Private,@Bittylicious_,https://bittylicious.com/,22/05/2013,8540541,,,,London,United Kingdom,London,United Kingdom,United Kingdom,Native,101001000,"Multi-Coin Brokerage Services, a long history of operating","2016-01-01:1;
2017-01-01:2;
2018-01-01:2;
2019-08-03:3",TRUE,"""No arbitration history to date"""
10131,Bitwage,01/07/2014,Private,@Bitwage,https://www.bitwage.com/,27/05/2014,565031,,,,"San Francisco, California",Ireland,"Kent, Delaware",United States,United States,Native,111311300,Payroll Services,2019-01-16:11,TRUE,https://search.cro.ie/company/CompanyDetails.aspx?id=565031&type=C
10132,Bitwala,01/01/2015,Private,@bitwala,https://www.bitwala.com,26/01/2016,HRB 173698,,,,"2014-09-25:Hengelo; 
2018-01-15:Berlin","2014-09-25:Netherlands; 
2018-01-15:Berlin","2014-09-25:Borne; 
2018-01-15:Berlin","2014-09-25:Netherlands; 
2018-01-15:Germany","2014-09-25:Netherlands; 
2018-01-15:Germany",Native,"2014-01-01:111301201;
2017-01-01:111301201,111301204,121611601;
2018-01-01:111301201,111301204,121611601,101011100","Pay Bills via Banktransfer with Bitcoin (2014-present);
Debit Card (2017); 
Bitcoin Wallet [Self-custody software] (2017);
Brokerage services (2018); 
Banking services (non-crypto yet linked directly with wallet 2018)?","2016-01-01:10;
2017-01-01:20;
2018-01-01:24;
2019-08-16:48",TRUE,"Bitwala originates from German founder however the first legal enity was Safaru B.V. behind it: 
https://app.dimensions.ai/details/grant/grant.8104492

Former websites
1. (bitwa.la) (2014 - 2016): http://web.archive.org/web/20150214031039/http://bitwa.la/
2.(Bitwala.io) (2017)



https://www.unternehmensregister.de/ureg/result.html;jsessionid=C737B543C56DFEB7D4715FB181256450.web03-1

Safaru B.V - Former Payment processor (Dutch - 61533300) - Listed as address in 2016"
10133,BitWall,01/10/2013,Private,@BitWall,http://get.watchout.world/bitwall/,18/07/2013,5369168,13/06/2018,"Acquired by Watch Out!, Inc.",A,"San Francisco, California",United States,"San Francisco, California",United States,United States,Native,111321401,Paywalls for Publishers: Microtransactions,,TRUE,
10134,"2012-04-17:""Valmont Internet""
2013-03-01:""BitX"";
2017-01-11:""Luno""",01/03/2013,Private,@lunomoney,https://www.luno.com,17/04/2012,201209545R,,,,"2012-04-17:""Singapore"";
2018-01-01:""London""","2012-04-17:""Singapore"";
2018-01-01:""United Kingdom""",Singapore,Singapore,Singapore,Native,"2013-03-01:101001000;
2014-01-01:101001000,121601500,111301200;
2016-01-01:101001000,121601500,111301200,101011101",Exchange; Mobile Wallet (2014); Payment Processor (2014); OTC (2016),"2016-01-01:25;
2017-01-01:50;
2018-01-01:100;
2019-08-20:280",TRUE,"Based in Singapore, but originally from South Africa, very active in African and Asian markets. Acquired in October 2013 by ""Switchless"", however still operating under old brand name and few information available about ""Switchless"" --> not included (http://web.archive.org/web/20131102070203/https://switchless.com/).

Switchless devision of FireID (Incubator) - http://web.archive.org/web/20131109110459/http://www.fireid.com/ & still live www.fireid.com but (think) not active

3 REGISTRIES IN Singapore registry: https://www.tis.bizfile.gov.sg/ngbtisinternet/faces/oracle/webcenter/portalapp/pages/TransactionMain.jspx?selectedETransId=dirSearch#%40%3FselectedETransId%3DdirSearch%26_adf.ctrl-state%3Deq5049psd_9

Legal Name: Luno Pte. Ltd. (2012 0954 5R)

Local Branches: 
Indonesia: PT Luno Indonesia Ltd (4014111731102609)
Malaysia: Luno Malaysia Sdn. Bhd. (1136927 A)
Nigeria: BitX Payments Limited (RC1216337)
South Africa: Luno (Pty) Ltd (2013/075107/07)
Uganda: Luno Technology Uganda Limited (80020001421135)
United Kingdom: Luno Money Limited (10388856)
Zambia: Luno Technology Zambia Ltd (120180009295)"
10135,"2014-05-01:""BitXatm"";
2019-03-19:""SumoATM""",01/05/2014,Private,@bitxatm,https://sumoatm.com/,22/11/2017,11077305,,,,London,United Kingdom,London,United Kingdom,United Kingdom,Native,101021200,Bitcoin ATM Manufacturer with integrated POS System,,TRUE,
10136,Bity,01/01/2014,Private,@bity,https://bity.com/,03/02/2014,CHE-329.301.814,,,,Neuch?tel,Switzerland,Neuch?tel,Switzerland,Switzerland,Native,"2015-01-01:121611601; 
2015-03-01:121611601,101011100; 
2015-09-01:121611601,101011100,101011101; 
2018-12-01:121611601,101011100,101011101,101011102; 
2018-01-01:121611601,101011100,101011101,101011102,111301201; 
2019-02-01:121611601,101011100,101011101,101011102,111301201,131911801; 
2019-02-01:121611601,101011100,101011101,101011102,111301201,131911801,193703603",2015-01:Bitcoin wallet; 2015-03:Brokerage Services; 2015-09:OTC Trading; 2018-12-dd:Bitcoin ATM Operator; 2018-mm-dd:Bill payment; 2019-02-dd:Staking services; 2019-02-dd:KYC/AML services,,TRUE,"Responded to email survey that they are ""not interested""."
10137,bitZino,09/06/2012,Private,@bitzino,http://web.archive.org/web/20130805101907/https://bitzino.com/,,,01/12/2016,Defunct,R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,162822805,Online Casino,,TRUE,https://web.archive.org/web/20130807175917/https://bitzino.com/about/news
10141,Block.io,01/08/2014,Private,@blockio,https://block.io/,07/07/2014,5564182,,,,"San Francisco, California",United States,Delaware,United States,United States,Native,"121611601,152512303","Multi-Coin Wallet; API Developer; Multi-Coin Block Explorer ""SoChain""",,TRUE,"Legal Name: Block.io, Inc.

https://businesssearch.sos.ca.gov/CBS/Detail"
10142,"2016-07-01:""Blockai"";
2017-05-01:""Binded""",01/05/2014,Private,@binded,https://binded.com/,31/01/2014,5474600,10/09/2019,Acquired by Pixsy,A,"San Francisco, California",United States,"Wilmington, Delaware",United States,United States,Native,"121601500,204003901","Wallet ""QuickCoin""; Time-Stamping Browser (2015)",,TRUE,"Founder initially started a project called ""Quickcoin"", but then turned around in June 2014 and built ""Blockai"", the ""Netscape for Bitcoin"""
